UniProt ID,Gene,Protein Name,Panel
P50591,TNFSF10,Tumor necrosis factor ligand superfamily member 10,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 96 Oncology II, Olink Target 48 Cytokine"
P10147,CCL3,C-C motif chemokine 3,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
P51671,CCL11,Eotaxin,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
P09603,CSF1,Macrophage colony-stimulating factor 1,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
P39900,MMP12,Macrophage metalloelastase,"Explore HT assay library, Olink Explore Oncology, Flex assay library, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine"
P05231,IL6,Interleukin-6,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Explore Inflammation, Olink Explore Neurology, Olink Explore Oncology, Flex assay library, Olink Target 96 Cardiovascular II, Olink Target 96 Immune Response, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 96 Oncology II, Olink Target 48 Cytokine"
P10145,CXCL8,Interleukin-8,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Explore Inflammation, Olink Explore Neurology, Olink Explore Oncology, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
P01375,TNF,Tumor necrosis factor,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Explore Inflammation, Olink Explore Neurology, Olink Explore Oncology, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
Q99731,CCL19,C-C motif chemokine 19,"Explore HT assay library, Olink Explore Neurology, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
P02778,CXCL10,C-X-C motif chemokine 10,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
P13236,CCL4,C-C motif chemokine 4,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
P01584,IL1B,Interleukin-1 beta,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Oncology III, Olink Target 48 Cytokine"
P09919,CSF3,Granulocyte colony-stimulating factor,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Neurology, Olink Target 48 Cytokine"
Q14116,IL18,Interleukin-18,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
P13500,CCL2,C-C motif chemokine 2,"Explore HT assay library, Olink Explore Neurology, Flex assay library, Olink Target 96 Cardiovascular III, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
P22301,IL10,Interleukin-10,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
P40933,IL15,Interleukin-15,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Neuro Exploratory, Olink Target 48 Cytokine"
P49771,FLT3LG,Fms-related tyrosine kinase 3 ligand,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
Q16552,IL17A,Interleukin-17A,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
Q9P0M4,IL17C,Interleukin-17C,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
P03956,MMP1,Interstitial collagenase,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
P13725,OSM,Oncostatin-M,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
Q969D9,TSLP,Thymic stromal lymphopoietin,"Explore HT assay library, Olink Explore Cardiometabolic, Flex assay library, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
O14625,CXCL11,C-X-C motif chemokine 11,"Explore HT assay library, Olink Explore Neurology, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
Q07325,CXCL9,C-X-C motif chemokine 9,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
P01579,IFNG,Interferon gamma,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
P35225,IL13,Interleukin-13,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
P60568,IL2,Interleukin-2,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
P13232,IL7,Interleukin-7,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
Q99616,CCL13,C-C motif chemokine 13,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
P01133,EGF,Pro-epidermal growth factor,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Oncology II, Olink Target 48 Cytokine"
O43508,TNFSF12,Tumor necrosis factor ligand superfamily member 12,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
P78380,OLR1,Oxidized low-density lipoprotein receptor 1,"Explore HT assay library, Olink Explore Cardiometabolic, Flex assay library, Olink Target 96 Cardiovascular II, Olink Target 48 Cytokine"
P15692,VEGFA,"Vascular endothelial growth factor A, long form","Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 96 Oncology II, Olink Target 48 Cytokine"
P01135,TGFA,Protransforming growth factor alpha,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Inflammation, Olink Target 96 Oncology II, Olink Target 48 Cytokine"
P05112,IL4,Interleukin-4,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
P14210,HGF,Hepatocyte growth factor,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 96 Oncology II, Olink Target 48 Cytokine"
Q96PD4,IL17F,Interleukin-17F,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Oncology III, Olink Target 48 Cytokine"
P80098,CCL7,C-C motif chemokine 7,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
P80075,CCL8,C-C motif chemokine 8,"Explore HT assay library, Olink Explore Oncology, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
O95760,IL33,Interleukin-33,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
Q96D42,HAVCR1,Hepatitis A virus cellular receptor 1,"Explore HT assay library, Olink Explore Oncology, Flex assay library, Olink Target 96 Cardiovascular II, Olink Target 96 Organ Damage"
Q9NSA1,FGF21,Fibroblast growth factor 21,"Explore HT assay library, Olink Explore Oncology, Flex assay library, Olink Target 96 Cardiovascular II, Olink Target 96 Cell Regulation, Olink Target 96 Inflammation"
Q13421,MSLN,Mesothelin,"Explore HT assay library, Olink Explore Oncology, Flex assay library, Olink Target 96 Oncology II"
P09237,MMP7,Matrilysin,"Explore HT assay library, Olink Explore Cardiometabolic, Flex assay library, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology"
P43489,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Oncology II"
O95630,STAMBP,STAM-binding protein,"Explore HT assay library, Olink Explore Neurology, Flex assay library, Olink Target 96 Inflammation"
P09238,MMP10,Stromelysin-2,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Inflammation"
P18627,LAG3,Lymphocyte activation gene 3 protein,"Explore HT assay library, Olink Explore Oncology, Flex assay library, Olink Target 96 Immune Response, Olink Target 96 Immuno-Oncology"
P01137,TGFB1,Transforming growth factor beta-1 proprotein,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation"
P09341,CXCL1,Growth-regulated alpha protein,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation"
P18510,IL1RN,Interleukin-1 receptor antagonist protein,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cardiovascular II"
P15018,LIF,Leukemia inhibitory factor,"Explore HT assay library, Olink Explore Neurology, Flex assay library, Olink Target 96 Inflammation"
P29460,IL12B,Interleukin-12 subunit beta,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Inflammation"
P78556,CCL20,C-C motif chemokine 20,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation"
P01583,IL1A,Interleukin-1 alpha,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation"
P04141,CSF2,Granulocyte-macrophage colony-stimulating factor,"Explore HT assay library, Olink Explore Cardiometabolic II, Flex assay library, Olink Target 48 Cytokine"
P35318,ADM,Pro-adrenomedullin,"Explore HT assay library, Olink Explore Oncology, Flex assay library, Olink Target 96 Cardiovascular II"
Q03405,PLAUR,Urokinase plasminogen activator surface receptor,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cardiovascular III"
P01374,LTA,Lymphotoxin-alpha,"Olink Explore Inflammation, Flex assay library, Olink Target 96 Inflammation, Olink Target 48 Cytokine"
Q13241,KLRD1,Natural killer cells antigen CD94,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response, Olink Target 96 Immuno-Oncology"
Q07011,TNFRSF9,Tumor necrosis factor receptor superfamily member 9,"Explore HT assay library, Olink Explore Neurology, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation"
O15444,CCL25,C-C motif chemokine 25,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Inflammation"
Q8IXJ6,SIRT2,NAD-dependent protein deacetylase sirtuin-2,"Explore HT assay library, Olink Explore Oncology, Flex assay library, Olink Target 96 Inflammation"
Q9NRJ3,CCL28,C-C motif chemokine 28,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Inflammation"
Q15116,PDCD1,Programmed cell death protein 1,"Explore HT assay library, Olink Explore Oncology, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Organ Damage"
Q9H5V8,CDCP1,CUB domain-containing protein 1,"Explore HT assay library, Olink Explore Neurology, Flex assay library, Olink Target 96 Inflammation"
O15169,AXIN1,Axin-1,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Inflammation"
Q9BQ51,PDCD1LG2,Programmed cell death 1 ligand 2,"Explore HT assay library, Olink Explore Oncology, Flex assay library, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology"
O00300,TNFRSF11B,Tumor necrosis factor receptor superfamily member 11B,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cardiovascular III, Olink Target 96 Inflammation"
P80162,CXCL6,C-X-C motif chemokine 6,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Inflammation"
P32970,CD70,CD70 antigen,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Oncology II"
O76036,NCR1,Natural cytotoxicity triggering receptor 1,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response, Olink Target 96 Immuno-Oncology"
Q9GZV9,FGF23,Fibroblast growth factor 23,"Explore HT assay library, Olink Explore Oncology, Flex assay library, Olink Target 96 Cardiovascular II, Olink Target 96 Inflammation"
O00253,AGRP,Agouti-related protein,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cardiovascular II"
Q16719,KYNU,Kynureninase,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Neurology"
P01730,CD4,T-cell surface glycoprotein CD4,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology"
P12034,FGF5,Fibroblast growth factor 5,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Inflammation"
P42702,LIFR,Leukemia inhibitory factor receptor,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Inflammation"
P48061,CXCL12,Stromal cell-derived factor 1,"Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine"
O75888,TNFSF13,Tumor necrosis factor ligand superfamily member 13,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Oncology II"
Q9UIB8,CD84,SLAM family member 5,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cardiovascular II"
